source,author,title,description,category,coverage,url
Breitbart News,"John Nolte, John Nolte",Nolte: Taylor Swift’s Box Office Triumph Makes Hollywood Tremble,"Nolte -- ""Taylor Swift: The Eras Tour"" broke box office records last weekend and left-wing Hollywood didn’t make a dime.",Movie,,https://www.breitbart.com/entertainment/2023/10/19/nolte-taylor-swifts-box-office-triumph-makes-hollywood-tremble/
Breitbart News,"John Nolte, John Nolte",Nolte: Taylor Swift Humiliates Hollywood Again -- Trounces Leo’s ‘Flower Moon’,"Nolte: ""Taylor Swift: The Eras Tour"" grossed another $32 million, humiliating Leonardo Di Caprio’s ""Killers of the Flower Moon,"" which debuted to just $22 million.",Movie,,https://www.breitbart.com/entertainment/2023/10/21/nolte-taylor-swift-humiliates-hollywood-again-trounces-leos-flower-moon/
Business Insider,Juliana Kaplan,"A movie theater staffer describes what it was like to work Taylor Swift's Eras Tour film premiere, which was so loud it blew out 2 amps",Taylor Swift's Eras Tour film was so loud it blew the sound system in one theater.,Movie,,https://www.businessinsider.com/taylor-swift-eras-tour-movie-movie-theater-worker-2023-10
CBC News,,"I'm a long-distance dad. So I went to Taylor Swift's movie alone, for my daughters",Jordan Kawchuk had promised his daughters that they’d watch Taylor Swift’s movie together. And they did — even if it wasn’t in the same theatre sitting side-by-side.,Movie,,https://www.cbc.ca/news/canada/first-person-taylor-swift-movie-long-distance-dad-1.7019980
CNN,Brian Lowry,Taylor Swift has given theaters a sugar rush. What they need is a steady drip of hits,"If you think about it, 2023 is shaping up to be the year that blonde women bailed out the movie industry, with Taylor Swift's concert film, ""Taylor Swift: The Eras Tour,"" providing a shot of adrenaline to the fall after ""Barbie"" helped offset several high-pro…",Movie,,https://www.cnn.com/2023/10/16/entertainment/taylor-swift-eras-tour-box-office-column/index.html
Fortune,Rachyl Jones,"NBC's successor to Yaccarino reveals the power of NFL commercials: 'There’s no bigger brand in the world than Taylor Swift, and she still needed help to actually sell tickets'",Average daily ticket sales for Swift’s movie rose 50% after commercials during NFL broadcasts.,Movie,,https://fortune.com/2023/10/17/taylor-swift-eras-tour-concert-film-nbc-nfl-commercials-tickets-nb/
Fortune,"Jessica Nix, Bloomberg",Taylor Swift's tour movie is as big of a hit as her concerts as the film breaks a more than decade-old box office record,The Eras Tour film delivered opening weekend sales that were higher than the debut of any prior concert picture since Justin Bieber's Never Say Never.,Movie,,https://fortune.com/2023/10/16/taylor-swift-eras-tour-movie-box-office/
Fortune,"Jake Coyle, The Associated Press","Taylor Swift rakes in another $31 million, holds off Martin Scorsese's 'Killers' to stay atop the box office","“Killers of the Flower Moon,"" which cost Apple Studios at least $200 million, debuted with $23 million, the third-best opening for Martin Scorsese.",Movie,,https://fortune.com/2023/10/22/weekend-box-office-taylor-swift-concert-film-beats-scorsese-killers-flower-moon/
Fortune,"Lindsey Bahr, The Associated Press",The box office just had one of its slowest weekends all year as Hollywood strikes delayed the release of blockbuster 'Dune: Part Two',"The release of the “Dune” sequel was pushed to March 2024 amid the dual writers' and actors' strikes, and no major blockbusters moved in to take its spot.",Movie,,https://fortune.com/2023/11/06/box-office-weekend-dune-part-two-release-delayed-hollywood-strikes/
Fortune,"Jake Coyle, The Associated Press",‘The Marvels’ struggles at box office amid superhero fatigue: ‘The growth of the genre has stopped’,The 33rd installment in the Marvel Cinematic Universe managed less than a third of the $153.4 million its predecessor launched with.,Movie,,https://fortune.com/2023/11/12/the-marvels-struggles-at-box-office-amid-superhero-fatigue/
The Washington Post,Washington Post,The Swiftie Universe Expands Yet Again (To Film). What’s It Mean?,"Swift is that rare artist who’s been rolling along, picking up new fans and keeping the old, during her long career. Just as Taylor has reinvented herself, giving some lyrics little tweaks in her re-recordings, different iterations of me, and everyone, have h…",Movie,,https://www.washingtonpost.com/opinions/2023/10/20/taylor-swift-marvel-universe-eras-tour-movie/
The Washington Post,Common Sense Media,What to watch with your kids: ‘Taylor Swift: The Eras Tour’,Common Sense Media’s guide to this week’s family movies and TV shows.,Movie,,https://www.washingtonpost.com/dc-md-va/2023/10/20/common-sense-media-october-20/
Time,Cady Lang,2023 Is One Big Costume Party,"From the Barbie movie to Taylor Swift and Beyoncé's tours and subsequent movies, there's never been a better time to dress up.",Movie,,https://time.com/6323750/taylor-swift-beyonce-barbie-fashion-concert-movie/
Business Insider,Kai Xiang Teo,Nvidia boss Jensen Huang joked that Jackie Chan should play him in a movie,"""I'll do my own stunts, yeah. I'll do all my own typing,"" Nvidia CEO Jensen Huang joked.",Movie/NR,,https://www.businessinsider.com/nvidia-jensen-huang-joked-jackie-chan-play-him-movie-2023-11
ABC News,The Associated Press,"What to stream this week: '1989 (Taylor’s Version),' Emily Blunt and 'Five Nights at Freddy’s'","This week’s new entertainment releases include Taylor Swift's “1989 (Taylor’s Version),” a glossy look at opioid addiction with the movie “Pain Hustlers” starring Emily Blunt, Chris Evans and Andy Garcia, and the streaming horror flick “Five Nights at ...",Music,,https://abcnews.go.com/Technology/wireStory/stream-week-1989-taylors-version-emily-blunt-nights-104214851
ABC News,MARIA SHERMAN AP music writer,"From country to pop, 2014 nostalgia to 2023 reality — it's time for Taylor Swift's '1989'","Taylor Swift’s reimagined “1989” is here, the album that ushered in the first Peak Swift era — revisited at the height of her massive pop culture dominance",Music,,https://abcnews.go.com/Entertainment/wireStory/country-pop-2014-nostalgia-2023-reality-time-taylor-104414613
Bleacher Report,Julia Stumbaugh,"Video: Broncos Play Taylor Swift's 'Shake It Off' After Beating Travis Kelce, Chiefs",The Kansas City Chiefs need to shake off their 24-9 loss to the Denver Broncos Sunday. That's what the home team indicated with their postgame song choice.…,Music,,https://bleacherreport.com/articles/10095337-video-broncos-play-taylor-swifts-shake-it-off-after-beating-travis-kelce-chiefs
Breitbart News,"Dylan Gwinn, Dylan Gwinn","VIDEO: Broncos Troll Chiefs, Travis Kelce by Playing Taylor Swift Music After Upset Win",The Broncos trolled the Chiefs by playing Taylor Swift music after their upset win over Kansas City on Sunday.,Music,,https://www.breitbart.com/sports/2023/10/29/video-broncos-troll-chiefs-travis-kelce-by-playing-taylor-swift-music-after-upset-win/
Fortune,Chris Morris,Taylor Swift’s remake of '1989' outsold the original’s first-week numbers—and it's not even close,That’s the first time a remake has outsold the original.,Music,,https://fortune.com/2023/11/06/taylor-swift-1989-taylors-version-outsells-original/
Fortune,Alicia Adamczyk,Taylor Swift’s latest master stroke is a blockbuster re-recording of her breakthrough pop album—and it could reshape the music industry as we know it,"The newest version of ""1989 TV,"" released at the end of October, sold 1.65 million copies in its first week. ""It's a career-defining moment.""",Music,,https://fortune.com/2023/11/06/taylor-swift-1989-rerecording-album-music-industry-impact/
Time,Moises Mendez II,The Meaning Behind Taylor Swift’s 1989 Vault Track ‘Slut!’,"Taylor Swift boldly reclaims a word that's been hurled at her in 1989 (Taylor's Version), with ""Slut!""",Music,,https://time.com/6329228/taylor-swift-1989-slut-song/
Time,"Samantha Cooney, Annabel Gutterman, Moises Mendez II and Rachel Sonis",A Ranking of Taylor Swift’s ‘From the Vault’ Songs,"With each re-recorded album, Taylor Swift has also released songs that almost made the cut. Here are our favorite 'From the Vault' tracks.",Music,,https://time.com/6327597/taylor-swift-best-vault-songs/
Time,Rachel Sonis,Taylor Swift’s ‘All You Had To Do Was Stay’ Is Criminally Underrated,"It's time to reassess the track from Taylor Swift's 1989, which is set to be rereleased on Oct. 27.",Music,,https://time.com/6328126/taylor-swift-1989-all-you-had-to-do-was-stay/
Time,Raisa Bruner,How 1989 Changed Taylor Swift’s Career Forever,"Taylor Swift is re-releasing the game-changing album '1989,' which cemented her place in the pop landscape nine years ago.",Music ,,https://time.com/6328790/taylor-swift-1989-2/
Buzzfeed,Michaela Bramwell,These 80 Hilarious October Tweets Have Me FALLing On The Floor In A Fit Of Laughter,"It's officially spooky season, bed bugs are overrunning Paris, the National Emergency Alert came early, Kevin McCarthy got booted as Speaker of The House, Beyoncé and Taylor Swift joined forces, Pete Davidson became a Swiftie meme, these celebrity wax statues…",N/A,,https://www.buzzfeed.com/michaelabramwell/funny-tweets-from-october
CBC News,,Cornwall unveils winter housing plan in shadow of encampment resident's death,"An eastern Ontario city's plan to house homeless people this winter is being met with a mix of relief and regret, coming less than a week after a homeless woman died in a local encampment.",N/A,,https://www.cbc.ca/news/canada/ottawa/cornwall-homeless-encampment-winter-plan-transitional-housing-shelter-1.7023847
CBC News,,"Shiffrin turns page on busy off-season, begins pursuit of record-tying 6th overall World Cup title",Keeping up with Mikaela Shiffrin's off-season endeavours may be just as challenging as catching up to her in a ski race. She's constantly full speed ahead.,N/A,,https://www.cbc.ca/sports/olympics/winter/alpine-skiing/alpine-skiing-shiffrin-offseason-1.7010158
The Washington Post,Michael O'Sullivan,‘Fingernails’: A form of cinematic torture,"Jessie Buckley, Jeremy Allen White and Riz Ahmed star in a silly, sci-fi story of a love triangle.",N/A,,https://www.washingtonpost.com/entertainment/movies/2023/11/01/fingernails-movie-review/
Business Insider,mberg@insider.com (Madeline Berg),There's one thing Taylor Swift isn't talking about,Taylor Swift is a billionaire after her Eras Tour and movie boosted her 2023 net worth. The pop star's brand benefits from her downplaying her wealth.,Opinion,,https://www.businessinsider.com/taylor-swift-billionaire-downplay-net-worth-brand-2023-11
Business Insider,Jordan Hart,"Gen Z's financial icons revealed: Taylor Swift beats Warren Buffett, and Bill Gates tops the list","Bill Gates, Beyoncé, and Oprah Winfrey made the list of people who embody financial success for Gen Z, according to a new survey of college students.",Opinion,,https://www.businessinsider.com/taylor-swift-jeff-bezos-elon-musk-top-financial-icons-genz-2023-11
ABC News,"DANIEL POLITI Associated Press, NATACHA PISARENKO Associated Press",Taylor Swift's Argentina concert takes political turn as presidential election nears,Politics was suddenly a topic of conversation as thousands of Taylor Swift fans eagerly lined up for the superstar’s first-ever concert in Argentina,Politics,,https://abcnews.go.com/International/wireStory/taylor-swifts-argentina-concert-takes-political-turn-presidential-104772669
ABC News,"DANIEL POLITI Associated Press, NATACHA PISARENKO Associated Press",Taylor Swift's Argentina concert takes political turn as presidential election nears,Politics was suddenly a topic of conversation as thousands of Taylor Swift fans eagerly lined up for the superstar’s first-ever concert in Argentina,Politics,,https://abcnews.go.com/Entertainment/wireStory/taylor-swifts-argentina-concert-takes-political-turn-presidential-104772670
Associated Press,,"Voters to decide KY governor, OH abortion rights and VA legislative control... Developing...","Voters to decide KY governor, OH abortion rights and VA legislative control... Developing...

 
 
 
 (First column, 1st story, link)

 

 

 
 Related stories:Dems seek upset in MS gov race...
Youngkin's Presidential Ambitions Face Test...",Politics,,https://apnews.com/live/election-2023-live-updates
Breitbart News,"Amy Furr, Amy Furr","Report: NJ Democrat Gov. Phil Murphy Spent Taxpayer Money at Taylor Swift Concert, Other Events","New Jersey Gov. Phil Murphy (D) reportedly spent taxpayer funds at stadium events, including a Taylor Swift concert.",Politics,,https://www.breitbart.com/politics/2023/10/31/report-nj-democrat-gov-phil-murphy-spent-taxpayer-money-taylor-swift-concert-other-events/
Breitbart News,"Christian K. Caruzo, Christian K. Caruzo",Argentina Socialists Weaponize Taylor Swift Against Conservative Presidential Frontrunner,Leftist fans of Taylor Swift in Argentina launched a campaign urging fellow Swifties not to vote for libertarian economist Javier Milei.,Politics,,https://www.breitbart.com/latin-america/2023/11/10/argentina-socialists-weaponize-taylor-swift-against-conservative-presidential-frontrunner/
NBC News,Elizabeth Robinson,Key election takeaways and Swifties skeptical of new correspondent: Morning Rundown,"Election results, third GOP debate, Vivek Ramaswamy, Ron DeSantis, Nikki Haley, Taylor Swift, Paul Kessler, Euclid telescope images, Patrick Dempsey, Sexiest Man Alive",Politics,,https://www.nbcnews.com/news/morning-rundown-november-8-rcna124135
Newsweek,Ryan Smith,Israel Asks Taylor Swift for Help,"While pop star Swift has not yet publicly weighed in on the Israeli-Palestinian conflict, she has been asked by officials for help.",Politics,,https://www.newsweek.com/israel-asks-taylor-swift-help-roni-eshel-hamas-missing-person-1841408
Buzzfeed,Matt Stopera,"Travis Kelce's Old Tweets Are Going Viral, And It's Making Everyone Like Him 1,000 Times More","This is the next-level himbo Ken energy, and I love it.View Entire Post ›",Propaganda,,https://www.buzzfeed.com/mjs538/travis-kelces-old-tweets
Fortune,Paige Hagy,A 35-year-old ‘huge Swiftie’ beat out a White House reporter and a legion of bloggers to get the most coveted job in journalism,"It’s “no different than being a sports journalist who’s a fan of the home team,” said Bryan West, the new Taylor Swift reporter for USA Today.",Reporter,,https://fortune.com/2023/11/07/gannett-usa-today-taylor-swift-report-bryan-west/
NBC News,Kalhan Rosenblatt,He landed a job covering Taylor Swift. Now the internet can’t stop analyzing why.,Journalist Bryan West is garnering scrutiny online from Swifties after landing the buzzy Gannett Taylor Swift beat reporter job.,Reporter,,https://www.nbcnews.com/pop-culture/taylor-swift-reporter-online-discourse-rcna124083
NBC News,Variety,USA Today hires a Taylor Swift reporter. Who is he?,"Gannett, the biggest newspaper chain in the U.S., no longer has a blank space under the title of “Taylor Swift reporter.”",Reporter,,https://www.nbcnews.com/pop-culture/pop-culture-news/usa-today-hires-taylor-swift-reporter-rcna123987
Business Insider,Jenny McGrath,"Dolly Parton, Taylor Swift, and more celebrities with species named after them","Some scientists love naming new species after celebrities. From David Bowie's spider to Dolly Parton's lichen, here are famously named species.",Scientific Nomenclature,,https://www.businessinsider.com/celebrity-species-named-eponyms-nomenclature-taxonomy
Breitbart News,"Alana Mastrangelo, Alana Mastrangelo",Rap Group Death Grips End Concert When Fans Won’t Stop Throwing Glow Sticks at Them,"The hip hop group Death Grips cut its performance in Fayetteville, Arkansas, last week after fans wouldn't stop throwing glow sticks at them.",Shows,,https://www.breitbart.com/entertainment/2023/10/21/rap-group-death-grips-end-concert-when-fans-wont-stop-throwing-glow-sticks-at-them/
Bleacher Report,Adam Wells,"Tom Brady, Josh Allen Reveal Michael Jordan, LeBron James and More Audible Code Words","If you've ever wondered about some of the coded language quarterbacks use to call out audibles on the field, Tom Brady and Josh Allen shared some that have…",Sports,,https://bleacherreport.com/articles/10095509-tom-brady-josh-allen-reveal-michael-jordan-lebron-james-and-more-audible-code-words
Bleacher Report,Gary Davenport,Fantasy Football Big Board: Complete 2023 PPR Player Rankings for Week 11,"Complete PPR player rankings, matchups to target and avoid and the top 100 players overall for Week 11.",Sports,,https://bleacherreport.com/articles/10097217-fantasy-football-big-board-complete-2023-ppr-player-rankings-for-week-11
CBS News,"Meredith Gordon, Fox Van Allen",How to watch today's Los Angeles Chargers vs. Kansas City Chiefs game,Join Taylor Swift and some football players for the Los Angeles Chargers vs. Kansas City Chiefs game this Sunday.,Sports,,https://www.cbsnews.com/essentials/how-to-watch-todays-los-angeles-chargers-vs-kansas-city-chiefs-game-2023-10-22/
CBS News,"Meredith Gordon, Fox Van Allen","How to watch today's New Orleans Saints vs. Indianapolis Colts NFL game: LIvestream options, starting time, more",It's a must-win game for both teams today as the Indianapolis Colts host the New Orleans Saints.,Sports,,https://www.cbsnews.com/essentials/how-to-watch-the-new-orleans-saints-vs-indianapolis-colts-game-2023-10-29/
CBS News,"Meredith Gordon, Fox Van Allen","The Jaguars are riding high after winning three in a row, but without Trevor Lawrence, the Saints could land a win.","The Jaguars are riding high after winning three in a row, but without Trevor Lawrence, the Saints could land a win.",Sports,,https://www.cbsnews.com/essentials/how-to-watch-jacksonville-jaguars-vs-new-orleans-saints-game-2023-10-19/
CBS News,"Meredith Gordon, Fox Van Allen","How to watch the New York Jets vs. New York Giants NFL game: Livestream options, starting time, more","In a Big Apple battle, the New York Jets take on the New York Giants in an early game today.",Sports,,https://www.cbsnews.com/essentials/how-to-watch-the-new-york-jets-vs-ny-giants-game-2023-10-29/
CBS News,"Meredith Gordon, Fox Van Allen","How to watch today's Washington Commanders vs. New York Giants game: Livestream options,",The Washington Commanders are taking on the New York Giants in an early game. Here's how to watch.,Sports,,https://www.cbsnews.com/essentials/how-to-watch-the-washington-commanders-vs-ny-giants-game-2023-10-22/
CBS News,"Meredith Gordon, Fox Van Allen","How to watch today's Los Angeles Rams vs. Dallas Cowboys NFL game: Livestream options, starting time, more",The Los Angeles Rams take on the Dallas Cowboys in one of the best NFL matchups of the week. Here's how to watch.,Sports,,https://www.cbsnews.com/essentials/how-to-watch-the-los-angeles-rams-vs-dallas-cowboys-game-2023-10-29/
Fox Sports,,Taylor Swift spotted at Chiefs-Chargers game at Arrowhead Stadium,Taylor Swift has touched down in Kansas City to attend the Chiefs' home game against the Chargers.,Sports,,https://www.foxsports.com/stories/nfl/taylor-swift-attends-chiefs-chargers-game-at-arrowhead-stadium
Fox Sports,,"Chiefs want to be ‘world’s team’ behind star power, Super Bowl success","Can the Chiefs rule the world? With championships, Patrick Mahomes, Travis Kelce — and Taylor Swift! — why not?",Sports,,https://www.foxsports.com/stories/nfl/chiefs-want-to-be-worlds-team-behind-star-power-super-bowl-success
Fox Sports,Patrick Everson,"Taylor Swift Effect: Chiefs 5-0, 4-1 ATS since star began attending Travis Kelce games",Travis Kelce and the Chiefs are on fire since superstar Taylor Swift started attending games. Patrick Everson talked to a long-time bookmaker about Kelce's props and how Swift has impacted the betting markets.,Sports,,https://www.foxsports.com/stories/nfl/taylor-swift-effect-chiefs-5-0-4-1-ats-since-star-began-attending-travis-kelce-games
Fox Sports,,Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift,"Travis Kelce is thankful for coach Andy Reid's approval of the presence of Taylor Swift at Chiefs games: ""You know you're doing something right.""",Sports,,https://www.foxsports.com/stories/nfl/chiefs-travis-kelce-responds-to-andy-reids-comments-on-impact-of-taylor-swift
NBC News,"Maddie Ellis, TODAY",Taylor Swift wears friendship bracelet with Travis Kelce’s jersey number at Chiefs-Chargers game,Taylor Swift might be the Kansas City Chiefs’ good luck charm.,Sports,,https://www.nbcnews.com/news/us-news/taylor-swift-wears-friendship-bracelet-travis-kelces-jersey-number-chi-rcna121648
Buzzfeed,Ivana Peloza,Get Your Parkas Ready For December 2024 – Canadian Swifties Haven't Been Able To Focus Since Taylor Swift JUST Announced Three New Concert Dates,Step 1) Register for Verified Fan Presale on Ticketmaster. Step 2) Look at flights to Vancouver.View Entire Post ›,Touring,,https://www.buzzfeed.com/ivanapeloza/taylor-swift-adds-three-vancouver-shows-to-the-eras-tour
Buzzfeed,Matt Stopera,"Taylor Swift Expressed Her Discomfort With Fans Throwing Stuff Onstage: ""It Really Freaks Me Out""",Everyone needs to chill.View Entire Post ›,Touring,,https://www.buzzfeed.com/mjs538/taylor-swift-throwing-stuff-on-stage
CBC News,,"Taylor Swift commands a huge fan base — and for some, it borders on spiritual","There’s been a fervent fan base surrounding Taylor Swift and her brand of music since she burst onto the scene in 2006. But more recently, that devotion has been taken to new heights, particularly given the record-breaking success of her worldwide Eras Tour c…",Touring,,https://www.cbc.ca/radio/tapestry/taylor-swift-fandom-spirituality-1.7000176
CBC News,,Taylor Swift to bring Eras Tour to Vancouver for 3 nights in December 2024,Taylor Swift is preparing to bring her Eras Tour to Vancouver for three nights next December.,Touring,,https://www.cbc.ca/news/canada/british-columbia/taylor-swift-vancouver-dates-1.7016290
Fortune,Jane Thier,An expensing firm CFO just revealed how remote work changes employee perks,"For proof, take a look at the $21,000 VIP dinner, $350 haircut, and Taylor Swift concert tickets that workers got reimbursed last year.",Touring,,https://fortune.com/2023/11/09/employee-expenses-concert-tickets-haircuts-remote-work-brex/
Fox News,Lauryn Overhultz,Taylor Swift postpones Argentina concert after Travis Kelce arrives,"Taylor Swift canceled the Nov. 10 concert of the international leg of ""The Eras Tour"" due to ""chaotic"" weather. Her rumored boyfriend, Travis Kelce, just arrived in the country.",Touring,,https://www.foxnews.com/entertainment/taylor-swift-cancels-argentina-concert-travis-kelce-arrives
NBC News,Sandra Lilley,Taylor Swift delights Argentina concert fans with popular Spanish slang,"Taylor Swift fans went wild in Argentina when she swapped the words ""like ever"" for a Spanish expression popular in Argentina, and the crowd went wild.",Touring,,https://www.nbcnews.com/news/latino/taylor-swift-spanish-argentina-concert-slang-pedo-rcna124596
The Washington Post,Chris Kelly,12 can’t-miss concerts in the D.C. area this November,Ice Spice and Doja Cat at Capital One Arena; Benny the Butcher at Howard Theatre; Liz Phair at the Anthem.,Touring,,https://www.washingtonpost.com/dc-md-va/2023/11/01/best-concerts-dc-november/
Time,Laura Zornosa,What to Watch Out For on the Next Leg of Taylor Swift’s Eras Tour,The singer has finished the first U.S. leg of her historically popular Eras Tour and is headed to South America.,Touring,,https://time.com/6333509/taylor-swift-eras-tour-cities-songs/
CBS News,Megan Cerullo,"Taylor Swift becomes a billionaire with new re-recording of ""1989""","Taylor Swift's wealth has crossed the billion-dollar mark thanks to her ""Eras"" tour, as well as a new release of her nine-year-old ""1989"" album.",Wealth,,https://www.cbsnews.com/news/taylor-swift-billionaire-1989-release-eras-tour/
Fortune,Alicia Adamczyk,"Taylor Swift is officially a billionaire thanks to her record-breaking tour and re-recording project, according to Bloomberg","Thanks thanks to her record-breaking Eras Tour and re-recording project, Taylor Swift has a $1.1 billion net worth, according to Bloomberg's estimates.",Wealth,,https://fortune.com/2023/10/26/taylor-swift-billionaire-net-worth-eras-tour-bloomberg/
ABC News,KEN MAGUIRE AP sports writer,Will Taylor Swift be at the Chiefs' game in Germany? Travis Kelce wouldn't say,Travis Kelce has declined to discuss Taylor Swift’s status for Sunday’s game in Germany — and their status as a couple,,,https://abcnews.go.com/Entertainment/wireStory/taylor-swift-chiefs-game-germany-travis-kelce-104613150
ABC News,The Associated Press,"New Jersey governor spent $12K on stadium events, including a Taylor Swift concert","Politico reports New Jersey Gov. Phil Murphy tapped into a taxpayer-financed expense account for nearly $12,000 at MetLife Stadium, including almost $1,000 for a Taylor Swift concert in 2018",,,https://abcnews.go.com/Entertainment/wireStory/new-jersey-governor-spent-12k-stadium-events-including-104556827
ABC News,LINDSEY BAHR AP film writer,A muted box office weekend without ‘Dune: Part Two’,"Universal and Blumhouse's video game adaptation “Five Nights at Freddy's” topped the North American box office in its second weekend according to studio estimates Sunday, while “Taylor Swift: The Eras Tour” placed second",,,https://abcnews.go.com/Entertainment/wireStory/muted-box-office-weekend-dune-part-104643495
ABC News,The Associated Press,"There's been a Travis Kelce sighting at the World Series. No sign of Taylor Swift, though",There has been a Travis Kelce sighting at the World Series,,,https://abcnews.go.com/Entertainment/wireStory/travis-kelce-sighting-world-series-sign-taylor-swift-104442775
ABC News,The Associated Press,"New Jersey governor spent $12K on stadium events, including a Taylor Swift concert","Politico reports New Jersey Gov. Phil Murphy tapped into a taxpayer-financed expense account for nearly $12,000 at MetLife Stadium, including almost $1,000 for a Taylor Swift concert in 2018",,,https://abcnews.go.com/Business/wireStory/new-jersey-governor-spent-12k-stadium-events-including-104556830
ABC News,The Associated Press,Partial list of nominees for the 66th Grammy Awards,The nominees for next year's Grammy Awards have been announced,,,https://abcnews.go.com/Entertainment/wireStory/partial-list-nominees-66th-grammy-awards-104792563
ABC News,The Associated Press,"MTV cancels EMAs awards show in Paris, citing Israel-Hamas war","The MTV Europe Music Awards canceled its ceremony next month, citing the Israel-Hamas War",,,https://abcnews.go.com/Entertainment/wireStory/mtv-cancels-emas-awards-show-paris-citing-israel-104140611
ABC News,MARIA SHERMAN AP music writer,Country musician Megan Moroney says she writes sad songs for sad people. It's making her a star.,"Not so long before her platinum single “Tennessee Orange” became inescapable on country radio, Megan Moroney was attending the University of Georgia",,,https://abcnews.go.com/Entertainment/wireStory/country-musician-megan-moroney-writes-sad-songs-sad-104377790
ABC News,LINDSEY BAHR AP film writer,Video game adaptation ‘Five Nights at Freddy’s’ notches $130 million global debut,"Fans flocked to movie theaters across the country to see the scary video game adaptation “Five Nights at Freddy's” on the big screen, which made $78 million to top the North American box office",,,https://abcnews.go.com/Entertainment/wireStory/video-game-adaptation-nights-freddys-notches-130-million-104461602
ABC News,NICHOLAS RICCARDI Associated Press,Court arguments begin in effort to bar Trump from presidential ballot under 'insurrection' clause,Court arguments are beginning in the effort to bar former President Donald Trump from running for his old job again,,,https://abcnews.go.com/Politics/wireStory/court-arguments-begin-effort-bar-trump-presidential-ballot-104469458
ABC News,NICHOLAS RICCARDI Associated Press,Court arguments begin in effort to bar Trump from presidential ballot under 'insurrection' clause,Court arguments are beginning in the effort to bar former President Donald Trump from running for his old job again,,,https://abcnews.go.com/US/wireStory/court-arguments-begin-effort-bar-trump-presidential-ballot-104469456
ABC News,JOE REEDY AP sports writer,Big Weekend: Rich Eisen reflects on NFL Network turning 20 and calling Chiefs-Dolphins on Sunday,Rich Eisen has had many memorable moments during his long tenure at NFL Network,,,https://abcnews.go.com/Entertainment/wireStory/big-weekend-rich-eisen-reflects-nfl-network-turning-104635198
ABC News,MARIA SHERMAN AP music writer,"2024 Grammy nomination snubs and surprises: No K-pop, little country and regional Mexican music","With new categories, “Barbie” and SZA — there’s a lot to discuss regarding the 2024 Grammy Award nominations",,,https://abcnews.go.com/Entertainment/wireStory/2024-grammy-nomination-snubs-surprises-pop-country-regional-104796254
ABC News,JOCELYN NOVECK AP national writer,Movie Review: Nicolas Cage finds fame to be highly overrated in chillingly funny ‘Dream Scenario’,"Nicolas Cage, perhaps best known for his onscreen volatility, takes a fascinating swerve to play a mundane, schlubby, balding professor at nowhere famous in Kristoffer Borgli's “Dream Scenario.”",,,https://abcnews.go.com/Entertainment/wireStory/movie-review-nicolas-cage-finds-fame-highly-overrated-104738290
ABC News,STAN CHOE AP business writer,"Even with economic worries, Vivid Seats CEO says customers still pay to see sports and hair bands","Strong spending by consumers has been a linchpin keeping the U.S. economy out of a recession, and Vivid Seats CEO Stan Chia doesn't see demand in his industry falling off",,,https://abcnews.go.com/Entertainment/wireStory/economic-worries-vivid-seats-ceo-customers-pay-sports-104007581
ABC News,KEN MAGUIRE AP sports writer,Chiefs want to be 'world's team' by going global with star power and Super Bowl success,The Kansas City Chiefs say Sunday's game in Frankfurt against the Miami Dolphins is a big step in the organization's plan to become the “world’s team.”,,,https://abcnews.go.com/Business/wireStory/chiefs-worlds-team-global-star-power-super-bowl-104632560
ABC News,MARIA SHERMAN AP music writer,'A noisy rock 'n' roll': How growing interest in Formula One is felt across the music world,"Beyond the engineering, the athleticism, the speed, the luxury, fans love the sound of Formula One",,,https://abcnews.go.com/Entertainment/wireStory/noisy-rock-roll-growing-interest-formula-felt-music-104878547
ABC News,MARIA SHERMAN AP music writer,'A noisy rock 'n' roll': How growing interest in Formula One is felt across the music world,"Beyond the engineering, the athleticism, the speed, the luxury, fans love the sound of Formula One",,,https://abcnews.go.com/Business/wireStory/noisy-rock-roll-growing-interest-formula-felt-music-104878552
Bleacher Report,Timothy Rapp,Fantasy Football Week 8: Top 100 Players' Updated Trade Value and Advice,"Chances are you are either gearing up for a title run or trying to inject some life into a fantasy season that is slipping away. It's trade szn, baby. Let the…",,,https://bleacherreport.com/articles/10094747-fantasy-football-week-8-top-100-players-updated-trade-value-and-advice
Bleacher Report,Timothy Rapp,Fantasy Football Week 7: Examining Trade Value for This Year's Top 100 Players,"We are nearing the point in the fantasy football season where that one person in your league is going to start sending you lopsided fantasy trades, hoping to…",,,https://bleacherreport.com/articles/10093938-fantasy-football-week-7-examining-trade-value-for-this-years-top-100-players
Bleacher Report,Timothy Rapp,"Rob Gronkowski Invites Chiefs' Travis Kelce, Taylor Swift to His NFL Super Bowl Party",Rob Gronkowski wants to party with the Kelce brothers and Taylor Swift at his Super Bowl party this year. Assuming neither Kansas City Chiefs tight end Travis…,,,https://bleacherreport.com/articles/10093556-rob-gronkowski-invites-chiefs-travis-kelce-taylor-swift-to-his-nfl-super-bowl-party
